uuid,url,title,image,subtitle,content
0026af85-18b8-42a1-966a-17ac9d7ce9ea,https://www.rt.com/sport/552398-russian-gymnast-ban-z-gesture/,Russian ‘Z’ symbol gymnast speaks out over fears of lengthy ban,https://mf.b37mrtl.ru/files/2022.03/xxs/6238849485f540120176f7f9.jpg,"Ivan Kuliak said he did ‘nothing wrong’, while the gymnast’s trainer revealed her concerns over a long suspension","Russian gymnast Ivan Kuliak insists he should not be banned for his show of support for his country’s armed forces at a recent competition, with the young star’s coach saying she is braced for a lengthy suspension.Kuliak appeared on the podium at a World Cup event in Doha earlier this month with a ‘Z’ sign attached to his leotard. The 20-year-old year later explained he had taken the step because of what he described as “unacceptable” behavior from Ukrainian rivals, whom he accused of “greatly escalating” the atmosphere at the competition.  Kuliak later told RT that he displayed the ‘Z’ sign – which has been added to Russian military vehicles and equipment during the operation in Ukraine – because the symbol is “for victory and for peace,” and that he would not hesitate to make the gesture again.The Gymnastics Ethics Foundation (GEF) has opened a disciplinary case against Kuliak, with Russian head coach Valentina Rodionenko fearing at least a one-year ban for the star. Facing that prospect, Kuliak has reiterated that, in his mind, he was not in the wrong.   “In general, I consider the decision to [potentially] suspend me unfair,” said the gymnast, according to Life.ru.“I didn’t do anything illegal, I didn’t break any rules, and now they want to ban me. In all this you can see the attitude towards our country.”Russian head coach Rodionenko likewise said any ban would be unjust, explaining that she and fellow trainer Igor Kalabushkin could also be sanctioned, and accusing the Ukrainian delegation in Doha of inciting antagonism.“The international federation made this decision under pressure from the Ukrainians, and some of them even advocated our lifelong disqualification,” Rodionenko told TASS.“Lawyers are working with us now who hope they’ll save us, but personally I doubt this outcome of the case. The decision should be made at the end of March.”The veteran trainer said Kuliak could be stripped of the bronze medal he won as well as any prize money, with both herself and Kalabushkin potentially being fined.  “Ukrainian athletes in Doha violated all the rules of the competition, they went to the platform wrapped in their national flag, refused to participate in award ceremonies if our girls took part in them,” she added.  “I want to say that I’ve never experienced such humiliation in my entire coaching career. I didn’t experience anything like that even after our boycott of the Olympic Games in the USA in 1984.“In Qatar, they didn’t humiliate us, they humiliated our country… I approached the FIG representative and asked why the Ukrainians behaved like that, to which he replied that he could do nothing about it.”The International Gymnastics Federation (FIG) announced on March 6 that it had charged the Gymnastics Ethics Foundation with opening proceedings against Kuliak, accusing him of “shocking behavior.”The FIG previously said it would follow International Olympic Committee (IOC) recommendations and ban all Russian and Belarusian athletes from its events, starting from March 7 and “until further notice.”  "
026d11d8-98cb-4700-8fed-277eec712ba1,https://www.rt.com/sport/552445-evgeny-rylov-speedo-sponsorship-luzhniki/,Olympic champion stripped of Speedo deal after Moscow concert appearance,https://mf.b37mrtl.ru/files/2022.03/xxs/623987de203027108a62e851.jpg,Evgeny Rylov appeared at the event in Moscow last week,"Swimwear company Speedo has terminated its sponsorship deal with double Olympic champion Evgeny Rylov after the star attended a Moscow concert marking the reunification of Crimea with Russia.Rylov, who won gold in the 100m and 200m backstroke events at the Tokyo Games, appeared at the mass meeting at Luzhniki Stadium on Friday which was held under the banner ‘For a World without Nazism’.Officials estimated that more than 100,000 people gathered inside the stadium and the surrounding area, as Russian President Vladimir Putin addressed the crowd while a host of music stars performed.The concert was similar to events which have been held in recent years to mark the reunification with Crimea, including at Luzhniki, although sections of the Western media described this year’s meeting as a “pro-war rally” as it comes amid Russia’s military operation in Ukraine.     Rylov, 25, was among the prominent Russian athletes in attendance and appeared in national team gear emblazoned with the letter ‘Z’ – a symbol which has been attached to Russian military hardware during the Ukraine conflict, and which has come to be used as a show of support for Russian forces.In light of his appearance at the event, swimwear company Speedo said that it would no longer be sponsoring Rylov.“Following his attendance at the Luzhniki Stadium in Moscow at the weekend, Speedo can confirm that it has terminated the sponsorship of Evgeny Rylov with immediate effect,” the company said in a statement to Inside The Games.Elsewhere, world swimming governing body FINA said it was “investigating” Rylov’s appearance at Luzhniki.  “FINA is deeply disappointed to note the reports regarding Evgeny Rylov’s appearance at the Luzhniki Stadium during Friday’s rally,” a spokesman said. Unlike some federations, FINA has not issued a blanket ban on Russian and Belarusian athletes and is allowing them to compete as neutrals.Other notable Russian sporting figures to attend the Luzhniki concert included rhythmic gymnastics stars Dina and Arina Averina, ice dancers Nikita Katsalapov and Victoria Sinitsina, and cross-country skier Alexander Bolshunov, who won three gold medals at the Beijing Winter Games last month.In a statement to Russia’s Match TV, skiing federation the FIS said it was not currently planning personal sanctions against Bolshunov.Swim star Rylov emerged as one of Russia’s biggest heroes at last summer’s Tokyo Summer Olympics, winning three medals in total.He made broader headlines when US rival and defending Olympic champion Ryan Murphy – whom Rylov beat to gold in both the 100m and 200m events – suggested that the race was “probably not clean” due to the participation of Russians and past allegations of doping.Murphy subsequently clarified that he was not directing the claims at anyone in particular.“He wrote me a private message on Instagram, said sorry for the misunderstanding that happened at the press conference... It’s okay, no problems, don’t worry,” Rylov later said."
0217dc27-6c93-49f0-87ff-b8e83d959c7a,https://www.rt.com/sport/552931-russia-banned-ski-ukraine-alexander-bolshunov/,"Norway’s boycott of Russia caused safety fears, admits Olympic ski champ",https://mf.b37mrtl.ru/files/2022.03/xxs/6243421985f5406aa4692c64.jpg,The Norwegian Ski Federation issued a blunt statement following the start of the attack on Ukraine,"Russian skiers feared for their safety at events after Norway made a strongly-worded boycott announcement following the start of the attack on Ukraine, three-time Olympic cross-country skiing champion Alexander Bolshunov has admitted.Ski chiefs in Norway – the only country to win more medals than the Russian Olympic Committee at the 2022 Beijing Winter Olympic Games – condemned the attack four days after it started, insisting that Russians were not welcome at the packed World Cup program.“The Norwegian Ski Federation’s message to Russia and Russian athletes is crystal clear,"" it said in a statement calling for sanctions against Russia. ""We do not want your participation.""The International Ski Federation (FIS) banned Russian and Belarusian athletes from competing at its events a day later.The Norwegian representatives had put pressure on the FIS, while the International Olympic Committee encouraged sporting federations to take similar action against athletes from the two nations.All three of the World Cup events immediately following the ban took place in Norway.Now Bolshunov, who became 30km skiathlon world champion in 2021 and took the title in the same event in Beijing alongside the 50km freestyle and 4×10km relay titles, has spoken out.“This is no good – respect should have been present, but in that situation people apparently forgot everything and began to influence us in other ways, although we are athletes and come to compete honestly and cleanly,"" Bolshunov told Russia-24 via RIA.""There was a lot of negativity in Norway... if we ran a race that had a lot of Norwegian fans, it wouldn't be safe to run there. Anything could happen.""With his season prematurely ended, Bolshunov believes the competitive excitement of the sport has also been curtailed by the ban.“When the strongest skiers are excluded, it will be just the Norwegian championship, since the Russian team is a direct competitor,"" he said.""At the Olympic Games, we proved that we are one of the main [teams] in skiing. We deserve [to compete for] the Olympic Games, World Championships, World Cup.""Competition should be a fair fight, a clean fight – and when this does not happen, it is no longer a sport."""
00bce962-4ca4-40e1-a869-7b25724acfbf,https://sputniknews.com/20220319/are-bidens-afghanistan--ukraine-blunders-behind-nyts-change-of-heart-about-hunters-laptop-1094010235.html,Are Biden's Afghanistan & Ukraine Blunders Behind NYT's Change of Heart About Hunter's Laptop?,https://cdnn1.img.sputniknews.com/img/07e5/04/04/1082540096_0:0:3071:2048_1440x900_80_0_1_b2e5e98163f00e46647d6b49f91b3fc4.jpg?source-sid=ap_photo,"On 16 March, The New York Times finally admitted that Hunter Biden's abandoned ""laptop from hell"" is worth a story and that emails recovered from it were ""authenticated"", despite previously overlooking and casting doubt on the New York Post's laptop bombshell in October 2020. ","""The NYT piece on Hunter Biden's laptop comes as Joe Biden's presidency is mired in messes of his own making"", says Wall Street analyst and investigative journalist Charles Ortel. ""Decisions early on to attack fossil fuel production while spending trillions more dollars on fantasy programmes have fuelled historically high inflation rates that threaten a vast majority of Americans who have little savings, mounting debts, and live paycheck to paycheck. Abroad, American errors in foreign policies have been compounded by the arrogant, insolent incompetence of Biden, Harris, and their Cabinet who botched the withdrawal from Afghanistan, opened up our now violent southern border and incite mayhem at many flashpoints, especially in Ukraine now and perhaps soon over Taiwan"". It seems the NYT has finally had enough and now will be amenable to housecleaning well before the looming midterm elections this November, according to the Wall Street analyst. The NYT's latest article about Hunter, titled ""Hunter Biden Paid Tax Bill, But Broad Federal Investigation Continues"", was penned by Katie Benner, Kenneth P. Vogel, and Michael S. Schmidt. On 31 January 2022, Politico revealed that the NYT had sued the State Department under the Freedom of Information Act (FOIA) to obtain emails that were sent or received by officials at the US Embassy in Romania between 2015 and 2019 mentioning Hunter Biden. The lawsuit stems from a 2019 report by the newspaper concerning Hunter's dealings with a Romanian real estate tycoon facing corruption charges, who ""hired"" the then-vice president's son in 2015. According to Politico, the NYT's inquiry into Hunter was spearheaded by investigative journalist Kenneth P. Vogel, who had been at odds with Team Biden throughout 2020. It did not prevent the NYT from attacking the New York Post's inquiry into Hunter's laptop shortly before the 2020 presidential election. At that time, the US legacy media denounced the New York Post story as ""Russian disinformation"". Yet, judging from the January 2022 FOIA, the NYT's 16 March piece is just one of a potential series of reports concerning the president's son. The Wall Street analyst does not rule out that the NYT reporting could be part of an internal political struggle within the Democratic Party. According to him, the NYT harbours ardent supporters of Bernie Sanders and of Hillary Clinton who are seen by some Democrats as more effective than Joe Biden. Furthermore, both Republican and Democratic insiders have been recently speculating about Hillary Clinton possibly running in the 2024 elections, even though she has denied this so far. American observers refer to the revival of the Clinton Global Initiative, which used to be active when the Clintons' participated in politics. The Wall Street analyst believes that Americans who think for themselves are ""thirsty for profound change in a system that encourages criminal behaviour in the political overclass who seem sure they are above all laws"". ""Let us hope the focus finally widens beyond Hunter and Joe Biden to the Clinton and Bush families, among others, that somehow have become much richer in the guise of public 'service' and in false-front philanthropy"", Ortel notes. Meanwhile, Fox News has drawn attention to the NYT's Hunter Biden story being completely ignored by the established media in the country, including CNN, MSNBC, ABC, CBS, and NBC. ""It was once routine that damning reports about the president published by The New York Times would lead nearly every news programme"", Fox News wrote on 18 March. ""That is no longer the case, at least under President Biden… Since Wednesday evening, the Times' report has received zero attention on the five major networks"". Let's stay in touch no matter what! Follow our Telegram channel to get all the latest news: https://t.me/sputniknewsus "
018d31cd-bf19-4afe-b71c-9d2d1cb163e6,https://www.rt.com/news/552914-cyberattacks-ukraine-us-nato/,Russia blames US for cyberattacks,https://mf.b37mrtl.ru/files/2022.03/xxs/624310b085f540291207778e.jpg,"Moscow repels hundreds of thousands of cyberattacks every day, the Foreign Ministry has claimed","The US and its allies have put together a group of international “offensive cyber-forces” and unleashed them on Russia in response to its military offensive in Ukraine, the Foreign Ministry in Moscow has alleged.Russian government institutions, media outlets and critical infrastructure have been “subjected to powerful blows with the use of advanced information and communication technologies,” the ministry said in a statement on Tuesday.Hundreds of thousands of such attacks are being registered in Russia on a daily basis. They’re carried out by a sort of “offensive cyber-forces,” which were put together by the US at the suggestion of Kiev, it added.According to Moscow, the “unprecedented scale” of the attacks suggests the operation is being conducted not only by Ukrainian cyber-units that are trained by the Americans and NATO, but also by “anonymous hackers and provocateurs” who answer to the backers of the Kiev government.The statement said the actions of this “army of cyber-mercenaries” who are assigned special missions against Russia “border on open terrorism.”The Russian agencies have so far been able to “effectively resist” those attacks, it added.Such aggression against Moscow is going to lead to “grave consequences for its masterminds and perpetrators.” Those responsible for the cyberattacks will be tracked down and held responsible for their actions in accordance with the law, the Foreign Ministry warned.Russia sent its troops into Ukraine in late February, following a seven-year standoff over Kiev’s failure to implement the terms of the Minsk agreements, and Russia’s eventual recognition of the republics of Donetsk and Lugansk. The German and French brokered protocols had been designed to regularize the status of those regions within the Ukrainian state.Moscow has now demanded that Ukraine officially declare itself a neutral country that will never join the US-led NATO military bloc. Kiev insists the Russian offensive was completely unprovoked and has denied claims it had been planning to retake the Donbass by force."
02a66f0e-944a-46a8-876d-60c584813741,https://sputniknews.com/20220326/france-to-build-new-lng-receiving-terminal-in-le-havre-reports-say-1094223861.html,"France to Build New LNG Receiving Terminal in Le Havre, Reports Say",https://cdnn1.img.sputniknews.com/img/07e6/03/1a/1094223835_0:0:2954:2047_1440x900_80_0_1_83f929cbc827f5a99c2da51ae1ea1c96.jpg?source-sid=afp,"PARIS, (Sputnik) - The French government, together with large energy companies, are planning to install a new terminal for receiving liquefied natural gas (LNG) in the port of Le Havre in order to reduce dependence on Russian gas, French news agency Les Echos reported on Saturday, citing sources close to the matter.","""This project of a floating LNG terminal in Le Havre will be useful if we want to reduce our dependence on gas from Russia and increase the security of supplies. Therefore, everything must be done to expedite the obtaining of the necessary permits,"" Jean-Francois Carenco, the chairman of the Energy Regulatory Commission, told the media. Carenco added that the goal is to have additional LNG receiving capacity brought on line within a year. According to the media, the project for the construction of a floating terminal in the port of Le Havre is being prepared by the French Ministry of Environmental Transformation, energy companies TotalEnergies, GRTGaz, and port structures connecting Le Havre, Rouen and Paris, has not yet been finalized. The floating terminal can import 50 terawatt hours (TWh) of gas per year or 3.9 million tonnes of LNG. It will be able to receive liquefied gas from the United States, Qatar or Africa. Natural gas prices were surging on the European market late last year, spurred by growing energy demand amid an economic recovery after months of lockdowns, as well as a limited supply. This has prompted the EU authorities to reinforce efforts toward ensuring the bloc's energy security, the need for which has become even more pressing during the conflict with Russia, the EU's main energy supplier, over the latter's military operation in Ukraine. Amid crippling global energy shortages, prices spiked further on Wednesday with gas futures topping $1,400 after Russian President Vladimir Putin instructed national energy giant Gazprom to change existing gas contracts into rubles. On 24 February, Russia launched a military operation in Ukraine after the breakaway republics of Donetsk and Lugansk appealed for help in defending themselves against Kiev forces. In response to Russia's operation, Western countries have rolled out a comprehensive sanctions campaign against Moscow. "
0032b7b2-c630-4277-ab72-d132c3f7eb8f,https://www.rt.com/news/552720-blackrock-sees-globalism-ending/,Ukraine crisis marks the end of globalization – BlackRock,https://mf.b37mrtl.ru/files/2022.03/xxs/623e084a85f54004352b5987.jpg,Top money manager says the West’s economic war against Russia will cause governments and businesses to rethink overseas dependencies,"BlackRock CEO Larry Fink, whose firm oversees investments equivalent to about half of US GDP, has predicted that efforts to punish Russia over its invasion of Ukraine would lead to the unraveling of globalism as decision-makers reconsider their foreign vulnerabilities.“The Russian invasion of Ukraine has put an end to the globalization we have experienced over the last three decades,” Fink said on Thursday in a letter to investors. “We had already seen connectivity between nations, companies and even people strained by two years of the pandemic. It has left many communities and people feeling isolated and looking inward. I believe this has exacerbated the polarization and extremist behavior we are seeing across society today.”Western nations responded to the Ukraine crisis by launching an “economic war” against Moscow, including the unprecedented step of barring the Russian central bank from deploying its foreign currency reserves, Fink noted. Capital markets, financial institutions and other businesses have gone beyond the sanctions imposed by their governments, cutting off their Russian ties and operations.“Russia’s aggression in Ukraine and its subsequent decoupling from the global economy is going to prompt companies and governments worldwide to re-evaluate their dependencies and re-analyze their manufacturing and assembly footprints – something that Covid had already spurred many to start doing,” Fink said. As a result, he added, companies will move more operations to their home countries or to neighboring nations, leading to higher costs and prices.The Russia-Ukraine conflict has “upended the world order” that has been in place since the Cold War ended and will require BlackRock to adjust to “long-term structural changes,” such as deglobalization and higher inflation, Fink said. He added that central banks will have to either accept increased inflation – even beyond the 40-year high that was set last month in the US – or reduced economic activity and employment.New York-based BlackRock handles $10 trillion in assets, making it the world’s largest money manager, so Fink’s views are closely watched by investors. In fact, the billionaire wields so much financial clout that his thoughts can be self-fulfilling, to some degree. Among other implications, he said he sees the Ukraine crisis accelerating the development of digital currencies and speeding the shift away from fossil fuels.“The ramifications of this war are not limited to Eastern Europe,” Fink said. “They are layered on top of a pandemic that has already had profound effects on political, economic and social trends. The impact will reverberate for decades to come in ways we can’t yet predict.”Although Fink and Russian leaders don’t see eye-to-eye on the Ukraine conflict – the money manager blames Moscow for causing the crisis – they agree that the world order is changing. Russian President Vladimir Putin said last week that sanctions against Moscow mark the end of an era, portending an end to the West’s “global dominance” both politically and economically. Ex-President Dmitry Medvedev echoed those comments this week, saying, “The unipolar world has come to an end.”"
01335236-0482-4e21-a832-f71bdc9b7188,https://sputniknews.com/20220322/twitter-ablaze-as-swedish-dairy-manufacturer-pulls-back-fermented-milk-over-russian-associations-1094075063.html,Twitter Ablaze as Swedish Dairy Manufacturer Pulls Back Fermented Milk Over 'Russian Associations',https://cdnn1.img.sputniknews.com/img/102311/76/1023117660_0:0:3072:2048_1440x900_80_0_1_7b1a425630d80f8735e5394944cf9dd2.jpg?source-sid=rian_photo,"Kefir, an innocuous fermented milk drink similar to thin yogurt associated with Russia, has fallen prey to the outbreak of anti-Russian sentiment following Moscow's military operation in Ukraine.","The sour milk product kefir will be removed from Swedish stores for a while, as local manufacturer Arla deemed its packaging featuring trademark onion domes reminiscent of the world-known Saint Basil's Cathedral unsuitable and inappropriate in the current circumstances, citing Russia's special operation to demilitarise and de-Nazify Ukraine, which the West portrays as an “invasion”. While Arla's kefir is produced in Sweden and consists entirely of Swedish raw materials, Arla nevertheless decided to withdraw the product due to “Russian associations”. Kefir is a fermented milk drink similar to thin yogurt made using a specific type of mesophilic symbiotic culture originating in the North Caucasus. Remarkably, sales of smetana, a fellow sour cream product common in Russian cuisine, will continue unperturbed, as Arla deemed its packaging more neutral. The decision by the Danish-Swedish dairy giant sparked a wave of outrage on Twitter. “Swedish Arla has decided to stop producing Kefir, because it's “too much associated with Russia” and “presently unsuitable”. This is one of the most idiotic things I've heard. Have people completely lost their f***ing minds??? It's fermented milk”, one user wrote. Others called it “stupidity at the highest level”. “Today, a package of Kefir became a protest against the madness of groupthink. This is what happens when you answer 'very important' to the question whether companies should take more social responsibility?” another one mused. “God damn what hypocritical nonsense. There was no talk of discontinuing working with American Starbucks when NATO/US destroyed Libya, in violation of international law…” another one chipped in. “A Swedish product by a Swedish company – this is downright ridiculous. And by extension dangerous. Anything that can in any way be associated with anything Russian is pariah. Should my students named Igor, Boris and Anton be forced to change their names as well?” yet another mused. Russia launched its military operation in Ukraine on 24 February, responding to calls for help from the People's Republics of Donetsk and Lugansk. The US and its Western allies retaliated by imposing massive sanctions against Russia, while many Western companies have also left the country's market in protest. Manufacturers and business owners have started pulling Russian or Russian-associated products as a token of their condemnation. Anti-Russian sentiment has also soared in the West, reaching Cold War-era levels – to the point where schoolchildren are getting bullied and exposed to verbal abuse and people are persecuted for having Russian sympathies. "
01a9f6d0-9ac4-4576-803a-bbf5f2b70b87,https://www.rt.com/news/552314-eu-bulgaria-gas-gazprom/,EU country won’t negotiate new gas deal with Russia’s Gazprom,https://mf.b37mrtl.ru/files/2022.03/xxs/6236244b85f54023e066e9a3.jpg,Signing a new contract has been deemed impossible due to the ongoing conflict between Russia and Ukraine,"Bulgaria will not negotiate a new natural gas contract with Russia’s state-owned energy giant Gazprom, amid the ongoing conflict between Moscow and Kiev, the country’s Deputy Prime Minister Assen Vassilev said Saturday.“In this situation, there’s no way there are talks with Gazprom,” he told BNR public radio.The country currently has a 10-year gas supply contract with Gazprom, which runs out at the end of 2022. Bulgaria receives nearly all of its natural-gas supply from Russia.Sofia is currently searching for alternatives to meet its gas demands, holding talks with third parties, Vassilev revealed. “We have held talks with both Greece and Turkey,” he said, adding that the country may potentially receive natural gas from Azerbaijan through the existing pipeline infrastructure.“There are alternatives. The old pipes of the Trans-Balkan route,” he explained. “There we have a capacity of about 20 billion cubic meters and it can be used in both directions, we need some three billion cubic meters.”Purchasing liquefied natural gas from overseas is another option on the table, the official said. Bulgaria and other EU member states are searching for a joint solution to the gas supply issue.“There are supplies from Qatar, Algeria. This is pan-European. A common EU-wide gas contract will be discussed at European level in the next one-to-two weeks. We expect this mechanism to be in place in the summer,” Vassilev said.The EU has renewed its push to reduce its dependency on Russian energy supply amid the ongoing war between Moscow and Kiev that broke out in late February. Moscow launched its offensive following a seven-year standoff over Ukraine’s failure to implement the terms of the Minsk ceasefire agreements, and Russia’s eventual recognition of the Donbass republics in Donetsk and Lugansk. The German- and French-brokered protocols were designed to regularize the status of the breakaway regions within the Ukrainian state.Russia has now demanded that Ukraine officially declare itself a neutral country that will never join the NATO military bloc. Kiev says the Russian offensive was completely unprovoked and has denied claims it had been planning to retake the two rebellious republics by force."
032c72df-1763-4e84-ba8c-57850959afb8,https://www.rt.com/news/552672-chinese-minister-visits-india/,Chinese Foreign Minister visits India to discuss Ukraine,https://mf.b37mrtl.ru/files/2022.03/xxs/623d87f520302746693fb650.jpg,It’s the first high-level meeting held between the two countries since tensions increased in 2020 over a border conflict,"Chinese Foreign Minister Wang Yi arrived in New Delhi on Thursday night for a diplomatic visit, where he is expected to meet his Indian counterpart Subrahmanyam Jaishankar, the Indian foreign ministry announced. This is the first visit of a high-ranking Chinese official to India since border clashes in Ladakh in 2020.Wang Yi previously held talks with India's National Security Adviser Ajit Doval, according to Reuters. Both China and India kept the visit secret until the Beijing diplomat touched down in New Delhi late on Thursday.The talks, set for Friday, are likely to be focused on border tensions between India-China, as well as Russia's military offensive in Ukraine. Both countries have, so far, abstained from condemning and sanctioning Russia for its actions, maintaining trade relations with the country despite pressure from the West.While the two nations have called on Russia to cease hostilities and look for a diplomatic solution, India continues to buy Russian oil and is currently discussing means to switch to a rupee-rouble trade mechanism, allowing the two sides to avoid trading in the euro or the dollar. China has repeatedly denounced unilateral sanctions on Moscow, protesting against Russia’s exclusion from the G20.The relations between China and India began to deteriorate after a clash in the Ladakh region on their Himalayan border in June 2020, where at least 20 Indian and four Chinese soldiers were killed.""Few would have anticipated ... the turn that India’s relations with China have taken in the last two years,"" Indian Foreign Minister said on Thursday, stressing the importance of coordination on defense and foreign policies matters between the two countries. It is likely that India will push for complete disengagement of troops from the region during the Friday talks.The Chinese foreign minister visited Pakistan and Afghanistan earlier this week, and is set to continue his tour across South Asia by traveling to Nepal. In Pakistan, Wang Yi said that “China shares the same hope” as its Islamic colleagues regarding the status of Indian Kashmir province, who advocate for the province’s ""inalienable right to self-determination"". The remark drew anger from some Indian officials ahead of his visit, as the Muslim majority region, controlled by both India and Pakistan, is considered a disputed territory, where India has been fighting armed rebels for decades."
